timeStamp,Pfwd,PfwdSmoothed,P45,P45Smoothed,PStatic,Palt,IAS,AngleofAttack,flapsPos,DataMark,OAT,TAS,imuTemp,VerticalG,LateralG,ForwardG,RollRate,PitchRate,YawRate,Pitch,Roll,EarthVerticalG,FlightPath,VSI,Altitude,DerivedAOA,CoeffP
200,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,0,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
220,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,0,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
240,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,0,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
260,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,0,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
280,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,0,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
300,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,0,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
320,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,0,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
340,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,0,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
360,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,0,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
380,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,0,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
400,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,0,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
420,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,0,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
440,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,0,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
460,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,0,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
480,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,0,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
500,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,0,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
520,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,0,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
540,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,0,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
560,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,0,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
580,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,0,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
600,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,0,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
620,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,0,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
640,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,0,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
660,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,0,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
680,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,0,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
700,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,0,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
720,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,0,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
740,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,0,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
760,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,0,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
780,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,0,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
800,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,0,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
820,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,0,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
840,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,0,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
860,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,0,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
880,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,0,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
900,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,0,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
920,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,0,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
940,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,0,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
960,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,0,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
980,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,0,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
1000,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
1020,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
1040,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
1060,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
1080,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
1100,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
1120,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
1140,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
1160,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
1180,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
1200,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
1220,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
1240,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
1260,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
1280,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
1300,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
1320,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
1340,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
1360,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
1380,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
1400,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
1420,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
1440,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
1460,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
1480,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
1500,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
1520,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
1540,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
1560,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
1580,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
1600,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
1620,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
1640,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
1660,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
1680,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
1700,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
1720,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
1740,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
1760,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
1780,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
1800,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
1820,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
1840,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
1860,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
1880,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
1900,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
1920,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
1940,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
1960,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
1980,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
2000,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
2020,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
2040,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
2060,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
2080,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
2100,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
2120,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
2140,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
2160,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
2180,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
2200,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
2220,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
2240,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
2260,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
2280,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
2300,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
2320,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
2340,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
2360,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
2380,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
2400,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
2420,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
2440,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
2460,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
2480,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
2500,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
2520,0,10.00,0,2.00,824.25,5250.0,10.0,1.4,30,0,0.0,10.0,25.0,1.0,0.0,-0.05,0.0,0.0,0.0,-3.0,0.5,1.0,0.00,0.00,5250.0,1.4,0.2000
